日期,城市,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比,新建商品住宅价格指数-定基,二手住宅价格指数-同比,二手住宅价格指数-环比,二手住宅价格指数-定基
2011-01-01,包头,108.1,100.0,103.9,100.8,100.8,100.8
2011-02-01,包头,108.8,100.6,104.6,100.8,100.0,100.8
2011-03-01,包头,108.5,99.7,104.3,101.1,100.3,101.1
2011-04-01,包头,105.4,100.3,104.7,101.4,100.3,101.4
2011-05-01,包头,105.0,100.1,104.7,101.7,100.3,101.7
2011-06-01,包头,104.9,100.1,104.8,101.9,100.2,101.9
2011-07-01,包头,104.1,99.8,104.6,102.0,100.1,102.0
2011-08-01,包头,104.3,100.3,104.9,102.1,100.1,102.1
2011-09-01,包头,103.4,100.0,104.9,102.4,100.3,102.4
2011-10-01,包头,102.1,99.8,104.7,102.4,100.0,102.4
2011-11-01,包头,101.1,99.8,104.5,102.4,100.1,102.5
2011-12-01,包头,100.2,99.7,104.2,101.5,99.1,101.5
2012-01-01,包头,100.0,99.8,104.0,100.4,99.7,101.1
2012-02-01,包头,99.5,100.1,104.1,99.7,99.3,100.5
2012-03-01,包头,99.6,99.9,103.9,99.1,99.7,100.2
2012-04-01,包头,99.1,99.8,103.7,98.8,100.0,100.1
2012-05-01,包头,99.1,100.1,103.8,98.3,99.8,100.0
2012-06-01,包头,99.3,100.2,104.0,99.0,100.9,100.9
2012-07-01,包头,99.7,100.2,104.2,99.5,100.6,101.5
2012-08-01,包头,99.4,100.0,104.3,99.2,99.8,101.3
2012-09-01,包头,99.6,100.1,104.4,98.5,99.5,100.8
2012-10-01,包头,99.8,100.1,104.5,98.0,99.5,100.3
2012-11-01,包头,100.3,100.3,104.8,97.2,99.3,99.6
2012-12-01,包头,100.7,100.1,104.9,98.6,100.5,100.1
2013-01-01,包头,101.6,100.7,105.6,99.0,100.0,100.1
2013-02-01,包头,103.6,102.1,107.8,100.0,100.4,100.5
2013-03-01,包头,104.9,101.1,109.0,100.5,100.2,100.7
2013-04-01,包头,105.7,100.6,109.6,100.8,100.3,101.0
2013-05-01,包头,107.1,101.3,111.1,101.3,100.2,101.2
2013-06-01,包头,107.0,100.1,111.3,100.3,100.0,101.2
2013-07-01,包头,107.4,100.6,112.0,99.9,100.1,101.4
2013-08-01,包头,107.3,99.9,111.9,100.4,100.3,101.7
2013-09-01,包头,107.6,100.4,112.3,101.2,100.4,102.1
2013-10-01,包头,108.4,100.8,113.2,102.2,100.4,102.5
2013-11-01,包头,108.7,100.6,113.9,103.2,100.3,102.8
2013-12-01,包头,109.4,100.7,114.7,102.9,100.2,103.0
2014-01-01,包头,108.5,99.9,114.6,103.3,100.4,103.4
2014-02-01,包头,106.4,100.1,114.7,102.9,100.1,103.5
2014-03-01,包头,105.4,100.2,114.9,102.7,100.0,103.5
2014-04-01,包头,104.9,100.1,115.1,102.5,100.1,103.5
2014-05-01,包头,103.1,99.6,114.6,102.1,99.8,103.4
2014-06-01,包头,102.4,99.4,113.9,101.5,99.4,102.7
2014-07-01,包头,100.5,98.8,112.5,100.0,98.7,101.4
2014-08-01,包头,98.8,98.3,110.6,99.1,99.4,100.8
2014-09-01,包头,97.6,99.2,109.7,97.7,98.9,99.7
2014-10-01,包头,96.1,99.3,108.8,96.3,99.0,98.7
2014-11-01,包头,94.7,99.2,107.9,95.6,99.5,98.2
2014-12-01,包头,93.5,99.4,107.3,95.2,99.8,98.1
2015-01-01,包头,92.5,98.7,106.0,94.3,99.3,97.5
2015-02-01,包头,91.5,99.0,104.9,93.5,99.2,96.7
2015-03-01,包头,91.3,100.0,105.0,93.0,99.5,96.2
2015-04-01,包头,91.0,99.7,104.7,92.9,100.0,96.2
2015-05-01,包头,91.1,99.8,104.4,93.3,100.2,96.4
2015-06-01,包头,91.4,99.7,104.2,94.0,100.1,96.6
2015-07-01,包头,92.3,99.6,103.8,95.2,100.0,96.5
2015-08-01,包头,93.9,100.0,103.9,95.7,100.0,96.5
2015-09-01,包头,94.5,99.8,103.7,96.6,99.9,96.4
2015-10-01,包头,95.0,99.8,103.5,97.6,99.9,96.3
2015-11-01,包头,95.8,99.9,103.4,97.4,99.3,95.7
2015-12-01,包头,96.3,100.0,103.4,97.4,99.8,95.5
2016-01-01,包头,97.1,99.5,,97.8,99.7,
2016-02-01,包头,97.8,99.6,,98.1,99.5,
2016-03-01,包头,98.0,100.2,,98.2,99.6,
2016-04-01,包头,98.5,100.3,,97.9,99.7,
2016-05-01,包头,98.7,100.1,,97.2,99.5,
2016-06-01,包头,98.8,99.8,,97.0,100.0,
2016-07-01,包头,98.7,99.5,,96.9,99.8,
2016-08-01,包头,98.7,100.1,,96.6,99.7,
2016-09-01,包头,99.2,100.3,,96.2,99.4,
2016-10-01,包头,99.2,99.9,,96.5,100.3,
2016-11-01,包头,99.7,100.4,,97.4,100.2,
2016-12-01,包头,99.4,99.8,,98.2,100.7,
2017-01-01,包头,100.2,100.2,,98.8,100.4,
2017-02-01,包头,100.6,100.1,,99.1,99.7,
2017-03-01,包头,100.7,100.3,,100.4,101.0,
2017-04-01,包头,101.0,100.6,,101.2,100.5,
2017-05-01,包头,101.5,100.5,,101.9,100.2,
2017-06-01,包头,102.0,100.3,,102.3,100.4,
2017-07-01,包头,102.8,100.4,,102.6,100.1,
2017-08-01,包头,103.4,100.6,,103.3,100.4,
2017-09-01,包头,103.4,100.4,,104.2,100.3,
2017-10-01,包头,103.9,100.3,,103.7,99.8,
2017-11-01,包头,104.4,100.9,,104.1,100.5,
2017-12-01,包头,105.7,101.1,,104.0,100.6,
2018-01-01,包头,103.8,100.8,,102.6,99.9,
2018-02-01,包头,106.8,100.4,,103.8,100.0,
2018-03-01,包头,107.2,100.6,,102.9,100.2,
2018-04-01,包头,107.1,100.6,,102.9,100.5,
2018-05-01,包头,107.4,100.8,,103.0,100.4,
2018-06-01,包头,108.2,101.0,,103.3,100.6,
2018-07-01,包头,109.7,101.8,,104.1,100.9,
2018-08-01,包头,111.8,102.5,,105.4,101.6,
2018-09-01,包头,112.0,100.5,,105.6,100.5,
2018-10-01,包头,113.1,101.4,,106.0,100.2,
2018-11-01,包头,112.5,100.4,,106.1,100.7,
2018-12-01,包头,111.4,100.0,,105.9,100.4,
2019-01-01,包头,111.0,100.5,,106.0,100.0,
2019-02-01,包头,111.1,100.6,,106.7,100.6,
2019-03-01,包头,111.3,100.8,,107.3,100.7,
2019-04-01,包头,111.5,100.7,,107.6,100.7,
2019-05-01,包头,111.2,100.5,,107.7,100.5,
2019-06-01,包头,109.9,99.7,,107.9,100.8,
2019-07-01,包头,108.0,100.1,,108.3,101.3,
2019-08-01,包头,106.6,101.1,,107.0,100.4,
2019-09-01,包头,106.6,100.6,,106.8,100.3,
2019-10-01,包头,105.8,100.6,,106.0,99.4,
2019-11-01,包头,105.5,100.1,,105.8,100.5,
2019-12-01,包头,106.3,100.8,,106.0,100.5,
2020-01-01,包头,105.9,100.0,,106.1,100.2,
2020-02-01,包头,105.1,99.9,,105.4,100.0,
2020-03-01,包头,104.4,100.1,,104.3,99.7,
2020-04-01,包头,103.4,99.8,,103.0,99.4,
2020-05-01,包头,103.7,100.8,,103.6,101.1,
2020-06-01,包头,103.9,99.9,,103.4,100.7,
2020-07-01,包头,104.3,100.5,,102.5,100.3,
2020-08-01,包头,104.0,100.8,,102.2,100.1,
2020-09-01,包头,103.8,100.5,,102.2,100.3,
2020-10-01,包头,103.4,100.1,,102.7,99.9,
2020-11-01,包头,103.2,99.9,,102.2,100.0,
2020-12-01,包头,102.6,100.2,,101.9,100.1,
2021-01-01,包头,102.6,100.2,101.6,101.8,100.2,101.1
2021-02-01,包头,102.5,99.7,101.2,102.0,100.2,101.3
2021-03-01,包头,102.9,100.5,101.8,102.7,100.3,101.7
2021-04-01,包头,103.4,100.3,102.1,103.9,100.5,102.3
2021-05-01,包头,103.3,100.7,102.8,103.3,100.5,102.8
2021-06-01,包头,103.3,100.0,102.8,102.8,100.2,103.0
2021-07-01,包头,103.0,100.2,103.0,102.3,99.8,102.7
2021-08-01,包头,102.3,100.1,103.1,102.0,99.8,102.5
2021-09-01,包头,101.6,99.8,102.8,101.4,99.7,102.3
2021-10-01,包头,101.2,99.7,102.5,101.5,99.9,102.2
2021-11-01,包头,101.0,99.5,102.1,101.1,99.6,101.8
2021-12-01,包头,100.2,99.4,101.5,100.5,99.6,101.4
2022-01-01,包头,99.8,99.8,101.3,100.0,99.8,101.2
2022-02-01,包头,99.8,99.7,101.0,99.6,99.7,100.9
2022-03-01,包头,98.7,99.4,100.4,98.8,99.5,100.5
2022-04-01,包头,98.7,99.4,100.4,97.7,99.4,99.9
2022-05-01,包头,98.7,99.4,100.4,97.0,99.9,99.7
2022-06-01,包头,98.7,99.4,100.4,96.5,99.7,99.4
2022-07-01,包头,96.0,99.9,98.8,96.4,99.6,99.0
2022-08-01,包头,95.3,99.4,98.2,96.1,99.6,98.6
2022-09-01,包头,94.9,99.3,97.6,95.6,99.2,97.8
2022-10-01,包头,95.2,100.0,97.6,95.7,100.0,97.8
2022-11-01,包头,95.3,99.7,97.3,95.6,99.6,97.4
2022-12-01,包头,95.4,99.6,96.9,95.5,99.4,96.8
2023-01-01,包头,95.5,99.9,,95.5,99.8,
2023-02-01,包头,96.2,100.5,,95.6,99.8,
2023-03-01,包头,96.7,99.9,,95.9,99.9,
2023-04-01,包头,97.7,100.4,,96.6,100.2,
2023-05-01,包头,98.0,99.8,,96.6,100.2,
2023-06-01,包头,97.9,99.6,,96.7,99.7,
2023-07-01,包头,97.4,99.4,,96.5,99.3,
2023-08-01,包头,97.4,99.3,,96.5,99.5,
2023-09-01,包头,97.2,99.2,,96.6,99.4,
2023-10-01,包头,96.9,99.7,,96.0,99.4,
2023-11-01,包头,97.0,99.8,,95.9,99.5,
2023-12-01,包头,97.1,99.6,,95.9,99.4,
2024-01-01,包头,96.9,99.7,,95.5,99.4,
2024-02-01,包头,95.9,99.4,,94.9,99.2,
2024-03-01,包头,95.6,99.6,,94.3,99.3,
2024-04-01,包头,94.7,99.4,,93.3,99.1,
2024-05-01,包头,94.5,99.5,,92.5,99.0,
2024-06-01,包头,94.0,99.1,,91.5,98.7,
2024-07-01,包头,93.7,99.1,,90.9,98.6,
2024-08-01,包头,93.7,99.4,,90.0,98.5,
2024-09-01,包头,93.6,99.2,,89.4,98.7,
2024-10-01,包头,93.3,99.3,,88.8,98.7,
2024-11-01,包头,93.1,99.6,,88.6,99.2,
2024-12-01,包头,93.2,99.7,,88.7,99.5,
2025-01-01,包头,93.4,99.9,,88.8,99.6,
2025-02-01,包头,93.6,99.6,,89.4,99.8,
2025-03-01,包头,93.4,99.4,,89.3,99.2,
2025-04-01,包头,93.6,99.6,,89.9,99.8,
2025-05-01,包头,93.8,99.7,,90.3,99.5,
2025-06-01,包头,94.1,99.5,,90.9,99.3,
2025-07-01,包头,94.4,99.4,,91.5,99.3,
2025-08-01,包头,94.2,99.1,,92.1,99.2,
2025-09-01,包头,94.1,99.0,,92.5,99.1,
2025-10-01,包头,94.1,99.3,,92.8,99.0,
2025-11-01,包头,93.9,99.4,,92.6,99.1,
2025-12-01,包头,93.2,99.0,,92.4,99.3,
2026-01-01,包头,92.8,99.4,,91.8,99.0,
2026-02-01,包头,92.8,99.5,,91.4,99.4,
2026-03-01,包头,92.7,99.4,,91.8,99.7,
2026-04-01,包头,92.7,99.7,,91.9,99.8,
